gene_id,cold,cold_high_light,drought,heat,heat_drought,heat_drought_high_light,heat_high_light,high_humidity,high_light
AT1G01010,,recovered,recovered,,recovered,recovered,,,
AT1G01020,recovered,recovered,recovered,,recovered,recovered,,,
AT1G01030,,,,,,,,,
AT1G01040,,recovered,recovered,,recovered,,,,
AT1G01050,recovered,recovered,recovered,,recovered,recovered,,,recovered
AT1G01060,recovered,recovered,,recovered,,recovered,recovered,,
AT1G01070,recovered,,recovered,,recovered,,,recovered,
AT1G01080,recovered,recovered,recovered,,recovered,,,,
AT1G01090,recovered,recovered,,,,,,,
AT1G01100,recovered,recovered,,,,,,,
AT1G01110,,,,,,,,,
AT1G01120,,,,,recovered,,,recovered,
AT1G01130,,recovered,,,,,,,
AT1G01140,,,,,recovered,,,recovered,recovered
AT1G01150,,,,,,,,,
AT1G01160,,recovered,recovered,,recovered,recovered,,,
AT1G01170,,,recovered,,recovered,recovered,,,
AT1G01180,,,,,recovered,,,recovered,
AT1G01183,,,,,,,,,
AT1G01190,recovered,,recovered,,recovered,recovered,,substantial_reversal,
AT1G01200,recovered,recovered,,,,,,,
AT1G01210,recovered,recovered,recovered,,recovered,,,,
AT1G01220,recovered,recovered,,,,,,,
AT1G01225,,,,,,,,,
AT1G01230,,,recovered,,recovered,recovered,,,
AT1G01240,recovered,recovered,recovered,,recovered,recovered,,,recovered
AT1G01250,recovered,recovered,recovered,,recovered,recovered,,recovered,
AT1G01260,,recovered,,,recovered,,,,
AT1G01280,,,,,,,,,
AT1G01290,,,recovered,,recovered,recovered,,,
AT1G01300,recovered,recovered,,,recovered,,,,
AT1G01310,,,,,,,,,
AT1G01320,recovered,substantial_reversal,,,recovered,,,,
AT1G01340,recovered,recovered,,,persistent_same_direction,,,,persistent_same_direction
AT1G01350,recovered,recovered,recovered,,recovered,,,,
AT1G01355,,,,,,,,,
AT1G01360,,,recovered,,recovered,recovered,,,
AT1G01370,recovered,recovered,recovered,,recovered,,,,
AT1G01380,,,,,,,,,
AT1G01390,,,recovered,,recovered,,,,
AT1G01410,,,,,,,,,
AT1G01420,recovered,recovered,recovered,,,,,,
AT1G01430,,,recovered,,recovered,,,,
AT1G01440,,recovered,recovered,,recovered,,,,
AT1G01448,,,recovered,,recovered,recovered,,,
AT1G01453,,,,,recovered,,,,
AT1G01460,,,,,,,,,
AT1G01470,recovered,,recovered,recovered,recovered,recovered,recovered,,
AT1G01471,,,,,,,,,
