gene_id,n_persistent_conditions,n_persistent_up,n_persistent_down
AT1G01480,5,5,0
AT1G01560,4,4,0
AT1G02850,4,4,0
AT1G02920,6,6,0
AT1G02930,4,4,0
AT1G05680,5,5,0
AT1G07000,4,4,0
AT1G08050,4,4,0
AT1G08450,4,4,0
AT1G09500,7,7,0
AT1G09932,4,4,0
AT1G10070,6,6,0
AT1G11330,4,4,0
AT1G14370,4,4,0
AT1G15520,4,4,0
AT1G15790,4,4,0
AT1G19020,4,4,0
AT1G19180,5,5,0
AT1G19250,4,4,0
AT1G21240,4,4,0
AT1G21250,7,7,0
AT1G21310,7,7,0
AT1G24140,4,4,0
AT1G24145,4,4,0
AT1G27730,4,4,0
AT1G30190,5,5,0
AT1G30220,6,6,0
AT1G30900,4,4,0
AT1G32350,4,4,0
AT1G32940,4,4,0
AT1G35710,4,4,0
AT1G43160,4,4,0
AT1G43910,4,4,0
AT1G45145,4,4,0
AT1G52890,5,5,0
AT1G57630,4,4,0
AT1G58340,5,5,0
AT1G60730,4,4,0
AT1G61800,7,7,0
AT1G63720,4,4,0
AT1G65690,4,4,0
AT1G66880,4,4,0
AT1G67920,4,4,0
AT1G67970,6,6,0
AT1G72120,5,5,0
AT1G72900,4,4,0
AT1G73260,5,5,0
AT1G73805,5,5,0
AT1G73810,6,6,0
AT1G74360,4,4,0
AT1G76040,4,4,0
AT1G76930,5,5,0
AT1G80160,8,8,0
AT1G80840,4,4,0
AT2G04050,4,4,0
AT2G04070,5,5,0
AT2G05440,6,6,0
AT2G13810,5,5,0
AT2G14560,6,6,0
AT2G14610,6,6,0
AT2G16595,5,5,0
AT2G17040,4,4,0
AT2G17500,5,5,0
AT2G18660,4,4,0
AT2G19900,7,7,0
AT2G23170,5,5,0
AT2G24850,5,5,0
AT2G26440,4,4,0
AT2G26560,6,6,0
AT2G28190,4,1,3
AT2G29120,4,4,0
AT2G29350,5,5,0
AT2G29460,4,4,0
AT2G30250,4,4,0
AT2G31880,4,4,0
AT2G32160,4,4,0
AT2G33080,4,4,0
AT2G36780,6,6,0
AT2G37770,5,5,0
AT2G37870,4,4,0
AT2G38470,5,5,0
AT2G39210,4,4,0
AT2G39330,5,5,0
AT2G40750,6,6,0
AT2G42560,4,4,0
AT2G43570,8,8,0
AT2G44290,4,4,0
AT2G45220,4,4,0
AT2G45570,6,6,0
AT2G46270,5,5,0
AT2G46400,4,4,0
AT2G46430,5,5,0
AT2G47000,4,4,0
AT2G47130,4,4,0
AT3G01420,6,6,0
AT3G11010,4,4,0
AT3G12580,5,5,0
AT3G13100,4,4,0
AT3G13380,4,4,0
AT3G13950,4,4,0
AT3G14050,4,4,0
AT3G15670,4,4,0
AT3G16990,5,5,0
AT3G19010,4,4,0
AT3G22231,5,5,0
AT3G22235,6,6,0
AT3G22600,5,5,0
AT3G23120,4,4,0
AT3G24500,4,4,0
AT3G25010,5,5,0
AT3G26210,4,4,0
AT3G26440,4,4,0
AT3G26830,7,7,0
AT3G28210,4,4,0
AT3G28540,4,4,0
AT3G44300,5,5,0
AT3G48850,4,4,0
AT3G49120,7,7,0
AT3G49130,4,4,0
AT3G50480,5,5,0
AT3G50930,4,4,0
AT3G51440,4,4,0
AT3G51660,4,4,0
AT3G51860,6,6,0
AT3G53230,4,4,0
AT3G55970,5,5,0
AT3G56400,5,5,0
AT3G56710,7,7,0
AT3G57260,6,6,0
AT3G60140,4,4,0
AT3G60420,4,4,0
AT3G61280,4,4,0
AT3G63380,5,5,0
AT4G00700,4,4,0
AT4G01985,7,7,0
AT4G02380,4,4,0
AT4G04490,5,5,0
AT4G04500,4,4,0
AT4G05020,4,4,0
AT4G10500,4,4,0
AT4G11890,4,4,0
AT4G12290,7,7,0
AT4G12470,5,5,0
AT4G12480,7,7,0
AT4G14365,4,4,0
AT4G14400,5,5,0
AT4G15610,4,4,0
AT4G16260,4,4,0
AT4G20110,4,4,0
AT4G21380,5,5,0
AT4G23140,5,5,0
AT4G23220,4,4,0
AT4G24000,7,7,0
AT4G26270,5,5,0
AT4G33050,4,4,0
AT4G37370,4,4,0
AT4G37990,5,5,0
AT4G38560,4,4,0
AT4G39030,4,4,0
AT4G39670,4,4,0
AT5G02490,5,5,0
AT5G03350,5,5,0
AT5G05600,5,5,0
AT5G06320,4,4,0
AT5G06760,4,4,0
AT5G08790,4,4,0
AT5G09530,4,4,0
AT5G10760,4,4,0
AT5G13210,4,4,0
AT5G13320,4,4,0
AT5G13330,4,4,0
AT5G13370,7,7,0
AT5G17760,5,5,0
AT5G18470,4,4,0
AT5G24530,6,6,0
AT5G24780,4,4,0
AT5G25250,4,4,0
AT5G25930,4,4,0
AT5G26340,5,5,0
AT5G26920,4,4,0
AT5G27600,4,4,0
AT5G35735,4,4,0
AT5G37540,4,4,0
AT5G39520,5,5,0
AT5G39670,4,4,0
AT5G40780,4,4,0
AT5G41750,4,4,0
AT5G42380,4,4,0
AT5G43910,4,4,0
AT5G45380,4,4,0
AT5G45630,4,4,0
AT5G48380,4,4,0
AT5G48570,5,5,0
AT5G51440,4,4,0
AT5G52300,5,5,0
AT5G52640,5,5,0
AT5G52750,4,4,0
AT5G52760,4,4,0
AT5G54610,4,4,0
AT5G55460,4,4,0
AT5G57480,4,4,0
AT5G60900,4,4,0
AT5G61010,4,4,0
AT5G62480,4,4,0
AT5G64000,4,4,0
AT5G67340,4,4,0
