matrix_column,state,condition,replicate,heat,drought,high_light,cold,high_humidity,n_stressors,recovery_days,stress_exposed
endpoint_COLD HL 1,endpoint,cold_high_light,1,False,False,True,True,False,2,0,True
endpoint_COLD HL 2,endpoint,cold_high_light,2,False,False,True,True,False,2,0,True
endpoint_COLD HL 3,endpoint,cold_high_light,3,False,False,True,True,False,2,0,True
endpoint_COLD 1,endpoint,cold,1,False,False,False,True,False,1,0,True
endpoint_COLD 2,endpoint,cold,2,False,False,False,True,False,1,0,True
endpoint_COLD 3,endpoint,cold,3,False,False,False,True,False,1,0,True
endpoint_T1,endpoint,heat_drought_high_light,1,True,True,True,False,False,3,0,True
endpoint_T 2,endpoint,heat_drought_high_light,2,True,True,True,False,False,3,0,True
endpoint_T 3,endpoint,heat_drought_high_light,3,True,True,True,False,False,3,0,True
endpoint_HEAT HL 1,endpoint,heat_high_light,1,True,False,True,False,False,2,0,True
endpoint_HEAT HL 2,endpoint,heat_high_light,2,True,False,True,False,False,2,0,True
endpoint_HEAT HL 3,endpoint,heat_high_light,3,True,False,True,False,False,2,0,True
endpoint_HEAT DROUGHT 1,endpoint,heat_drought,1,True,True,False,False,False,2,0,True
endpoint_HEAT DROUGHT 2,endpoint,heat_drought,2,True,True,False,False,False,2,0,True
endpoint_HEAT DROUGHT 3,endpoint,heat_drought,3,True,True,False,False,False,2,0,True
endpoint_HEAT 1,endpoint,heat,1,True,False,False,False,False,1,0,True
endpoint_HEAT 2,endpoint,heat,2,True,False,False,False,False,1,0,True
endpoint_HEAT 3,endpoint,heat,3,True,False,False,False,False,1,0,True
endpoint_DROUGHT 1,endpoint,drought,1,False,True,False,False,False,1,0,True
endpoint_DROUGHT 2,endpoint,drought,2,False,True,False,False,False,1,0,True
endpoint_DROUGHT 3,endpoint,drought,3,False,True,False,False,False,1,0,True
endpoint_Humidity 1,endpoint,high_humidity,1,False,False,False,False,True,1,0,True
endpoint_Humidity 2,endpoint,high_humidity,2,False,False,False,False,True,1,0,True
endpoint_Humidity 3,endpoint,high_humidity,3,False,False,False,False,True,1,0,True
endpoint_HL 1,endpoint,high_light,1,False,False,True,False,False,1,0,True
endpoint_HL 2,endpoint,high_light,2,False,False,True,False,False,1,0,True
endpoint_HL 3,endpoint,high_light,3,False,False,True,False,False,1,0,True
recovery_COLD HL 1,recovery,cold_high_light,1,False,False,True,True,False,2,3,True
recovery_COLD HL 2,recovery,cold_high_light,2,False,False,True,True,False,2,3,True
recovery_COLD HL 3,recovery,cold_high_light,3,False,False,True,True,False,2,3,True
recovery_COLD 1,recovery,cold,1,False,False,False,True,False,1,3,True
recovery_COLD 2,recovery,cold,2,False,False,False,True,False,1,3,True
recovery_COLD 3,recovery,cold,3,False,False,False,True,False,1,3,True
recovery_T1,recovery,heat_drought_high_light,1,True,True,True,False,False,3,3,True
recovery_T 2,recovery,heat_drought_high_light,2,True,True,True,False,False,3,3,True
recovery_T 3,recovery,heat_drought_high_light,3,True,True,True,False,False,3,3,True
recovery_HEAT HL 1,recovery,heat_high_light,1,True,False,True,False,False,2,3,True
recovery_HEAT HL 2,recovery,heat_high_light,2,True,False,True,False,False,2,3,True
recovery_HEAT HL 3,recovery,heat_high_light,3,True,False,True,False,False,2,3,True
recovery_HEAT DROUGHT 1,recovery,heat_drought,1,True,True,False,False,False,2,3,True
recovery_HEAT DROUGHT 2,recovery,heat_drought,2,True,True,False,False,False,2,3,True
recovery_HEAT DROUGHT 3,recovery,heat_drought,3,True,True,False,False,False,2,3,True
recovery_HEAT 1,recovery,heat,1,True,False,False,False,False,1,3,True
recovery_HEAT 2,recovery,heat,2,True,False,False,False,False,1,3,True
recovery_HEAT 3,recovery,heat,3,True,False,False,False,False,1,3,True
recovery_DROUGHT 1,recovery,drought,1,False,True,False,False,False,1,3,True
recovery_DROUGHT 2,recovery,drought,2,False,True,False,False,False,1,3,True
recovery_DROUGHT 3,recovery,drought,3,False,True,False,False,False,1,3,True
recovery_Humidity 1,recovery,high_humidity,1,False,False,False,False,True,1,3,True
recovery_Humidity 2,recovery,high_humidity,2,False,False,False,False,True,1,3,True
recovery_Humidity 3,recovery,high_humidity,3,False,False,False,False,True,1,3,True
recovery_HL 1,recovery,high_light,1,False,False,True,False,False,1,3,True
recovery_HL 2,recovery,high_light,2,False,False,True,False,False,1,3,True
recovery_HL 3,recovery,high_light,3,False,False,True,False,False,1,3,True
CONT 1,control,control,1,False,False,False,False,False,0,0,False
CONT 2,control,control,2,False,False,False,False,False,0,0,False
CONT 3,control,control,3,False,False,False,False,False,0,0,False
