matrix_column,qc_status,qc_note
endpoint_COLD HL 1,retain,
endpoint_COLD HL 2,retain,
endpoint_COLD HL 3,retain,
endpoint_COLD 1,retain,
endpoint_COLD 2,retain,
endpoint_COLD 3,retain,
endpoint_T1,retain,
endpoint_T 2,retain,atypical_triple_stress_replicate
endpoint_T 3,retain,
endpoint_HEAT HL 1,retain,
endpoint_HEAT HL 2,retain,
endpoint_HEAT HL 3,retain,
endpoint_HEAT DROUGHT 1,retain,
endpoint_HEAT DROUGHT 2,retain,
endpoint_HEAT DROUGHT 3,retain,elevated_within_treatment_variability
endpoint_HEAT 1,retain,
endpoint_HEAT 2,retain,
endpoint_HEAT 3,retain,
endpoint_DROUGHT 1,retain,
endpoint_DROUGHT 2,retain,
endpoint_DROUGHT 3,retain,
endpoint_Humidity 1,retain,
endpoint_Humidity 2,retain,
endpoint_Humidity 3,retain,
endpoint_HL 1,retain,
endpoint_HL 2,retain,
endpoint_HL 3,retain,
recovery_COLD HL 1,retain,
recovery_COLD HL 2,retain,
recovery_COLD HL 3,retain,
recovery_COLD 1,retain,
recovery_COLD 2,retain,
recovery_COLD 3,retain,
recovery_T1,retain,
recovery_T 2,retain,
recovery_T 3,retain,
recovery_HEAT HL 1,retain,
recovery_HEAT HL 2,retain,
recovery_HEAT HL 3,retain,
recovery_HEAT DROUGHT 1,retain,
recovery_HEAT DROUGHT 2,retain,
recovery_HEAT DROUGHT 3,retain,
recovery_HEAT 1,retain,
recovery_HEAT 2,retain,
recovery_HEAT 3,retain,
recovery_DROUGHT 1,retain,
recovery_DROUGHT 2,retain,
recovery_DROUGHT 3,retain,
recovery_Humidity 1,retain,
recovery_Humidity 2,retain,
recovery_Humidity 3,retain,
recovery_HL 1,retain,
recovery_HL 2,retain,
recovery_HL 3,retain,
CONT 1,retain,
CONT 2,retain,
CONT 3,retain,
