,endpoint_COLD HL 1,endpoint_COLD HL 2,endpoint_COLD HL 3,endpoint_COLD 1,endpoint_COLD 2,endpoint_COLD 3,endpoint_T1,endpoint_T 2,endpoint_T 3,endpoint_HEAT HL 1,endpoint_HEAT HL 2,endpoint_HEAT HL 3,endpoint_HEAT DROUGHT 1,endpoint_HEAT DROUGHT 2,endpoint_HEAT DROUGHT 3,endpoint_HEAT 1,endpoint_HEAT 2,endpoint_HEAT 3,endpoint_DROUGHT 1,endpoint_DROUGHT 2,endpoint_DROUGHT 3,endpoint_Humidity 1,endpoint_Humidity 2,endpoint_Humidity 3,endpoint_HL 1,endpoint_HL 2,endpoint_HL 3,recovery_COLD HL 1,recovery_COLD HL 2,recovery_COLD HL 3,recovery_COLD 1,recovery_COLD 2,recovery_COLD 3,recovery_T1,recovery_T 2,recovery_T 3,recovery_HEAT HL 1,recovery_HEAT HL 2,recovery_HEAT HL 3,recovery_HEAT DROUGHT 1,recovery_HEAT DROUGHT 2,recovery_HEAT DROUGHT 3,recovery_HEAT 1,recovery_HEAT 2,recovery_HEAT 3,recovery_DROUGHT 1,recovery_DROUGHT 2,recovery_DROUGHT 3,recovery_Humidity 1,recovery_Humidity 2,recovery_Humidity 3,recovery_HL 1,recovery_HL 2,recovery_HL 3,CONT 1,CONT 2,CONT 3
AT1G01010,6.301350391,6.404737201,5.914146092,5.993385117,5.960478394,5.6946219,6.297379973,5.958532345,6.198098071,5.794611991,5.85758148,5.782112807,6.165337253,6.545312052,6.516880429,6.201743762,5.88465646,5.929374702,6.191247172,6.245382658,6.17803652,5.616847713,5.644822519,5.775787564,6.164221909,5.925878906,5.812167457,5.649308401,6.260718067,5.598791806,5.883466086,5.682455606,5.619569761,5.488527561,5.623085775,6.215399015,5.652791128,5.556959897,6.184404382,5.960123987,5.792328504,5.979835434,5.778841861,5.742949319,5.96024915,5.879309618,6.208746487,5.810787376,5.84508498,5.674877578,5.667743785,5.766560018,6.168909659,5.990604527,5.671686431,5.713254598,5.871096547
AT1G01020,8.071225847,8.268410313,8.146478395,8.010670202,8.054364774,7.965822508,8.142792206,7.699210059,8.185703068,7.89785971,7.661054487,7.736240235,8.45399557,8.179292493,8.498862779,7.95484247,7.922117605,7.745705269,8.201344514,7.94159419,8.323736299,7.906231028,8.00462979,7.67452998,7.832093932,7.720772307,7.844514396,7.734394156,7.927427755,7.730862937,7.685888626,7.52424812,7.655289507,7.722474717,7.773072394,7.887993099,7.675241943,7.718051694,7.805393013,7.580468704,7.790086845,7.76780132,7.543471977,7.674601027,7.798037201,7.852900192,7.916533761,7.853829264,7.788381001,7.590621162,7.648822118,7.887381508,7.804465638,7.860458403,7.698647377,7.515656321,7.705563443
AT1G01030,6.224396642,5.792191591,5.742243275,6.053377294,5.857521652,5.628435403,5.977911433,5.795870058,5.917823346,5.819638083,5.942868974,5.890576758,5.647811639,5.564877279,5.921045915,5.782857677,5.971783622,5.986631481,5.846217502,5.398891708,5.858105329,5.802209931,5.874274208,5.854774679,5.873737692,5.917265174,5.819055154,5.850965069,6.182100672,5.88312911,5.758333205,5.75948631,5.8011932,5.813280494,5.893289853,5.971382923,5.708251111,5.567677373,6.036466636,5.869115579,5.856154946,5.831343122,5.912853261,5.696941819,6.01751643,5.988484501,6.073140353,5.787484925,5.8917732,5.858536557,5.842797591,5.633534137,5.883065626,5.903216172,5.740828067,5.759991474,5.624434867
AT1G01040,10.43028895,10.3870117,10.38851962,10.16253439,10.26020017,10.02817107,10.13118436,9.945119175,10.4117388,10.06077982,9.919697302,9.81677351,10.60503264,10.68067938,10.6541572,9.995589514,10.02508031,9.746717499,10.60828435,10.23955168,10.62554731,10.0227597,9.865513588,9.872573165,10.05048963,9.888292637,9.954287963,9.853914593,9.717473898,9.873130568,9.79438015,9.818254931,9.922168479,9.772223369,9.79266801,10.16670148,9.776487503,9.759730292,10.19489273,9.769943227,9.915772605,10.00379003,9.772786853,9.78646864,9.971770241,10.01512611,10.1754458,10.04192329,9.774146147,9.88991349,9.989143767,9.952408676,10.17888198,10.10425338,10.04591427,9.804080079,9.809132652
AT1G01046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01050,10.89046962,10.85984444,10.70403249,10.68086283,10.59795789,10.56826693,10.35788854,10.06110061,10.4564738,10.06091299,9.922173377,9.859722701,10.46887956,10.41866689,10.54832648,9.91990904,9.991825085,9.80332928,10.50533597,10.25534837,10.67304024,9.763973438,9.844327601,9.751114513,10.27768875,10.24857102,10.05181204,9.700409737,9.743475183,9.88533923,9.770850709,9.846684453,9.949529895,9.710856281,9.894193072,10.06798135,9.726674737,9.808060915,10.10461369,9.814793183,9.882752304,9.908276324,9.867158299,9.808094501,9.968993723,10.1075102,10.00975709,10.04143714,9.830826949,9.884339968,9.916352273,9.93081137,10.01439673,9.758519539,9.995459059,9.7043197,9.822351939
AT1G01060,8.967618656,8.838626562,9.345318918,8.999041185,8.867310991,9.093787897,6.553911392,6.0714924,6.895470533,6.288421875,5.987179949,6.407728717,7.178353997,7.015605379,7.08881448,6.243077607,6.243265817,6.231801537,7.414204991,7.304023923,7.612314611,6.649906517,6.934169336,7.141740062,7.24410601,7.01820648,7.029519954,6.499750114,7.385526004,6.911876893,6.60927363,6.827911646,7.330803531,6.409786513,7.056516698,7.942749098,6.673154796,7.127103213,8.176888424,6.465781983,7.036393282,7.518951294,6.823812835,6.916292334,7.297222365,7.065277086,7.709452077,7.934833129,6.562520644,6.951260013,7.278222052,6.986835881,7.592376878,7.656625297,7.288705976,7.226536038,7.065061982
AT1G01070,7.11548632,6.785940002,6.794433417,6.912049159,7.021904433,6.945231789,6.796587873,6.608062508,7.15307051,6.781808248,6.47672558,6.418406531,7.376594949,7.515459536,7.800069716,6.635261554,6.294323107,6.676375595,7.07772364,7.203042662,6.968295285,5.951202244,5.993855694,6.357489988,6.731991911,6.440819293,6.54925757,6.588299789,6.932300563,6.386214903,6.465358626,6.549022918,6.53330559,6.218259265,6.509747902,6.866615383,6.409447069,6.577330789,6.435856957,6.733172715,6.556128981,6.552098082,6.752220444,6.750834706,6.842979626,6.661544956,6.556737814,6.648037426,6.680515648,6.548331519,6.529941421,6.635439881,6.544842054,6.482136154,6.785117889,6.504789664,6.487825777
AT1G01073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01080,11.39974918,11.38422,11.20907731,11.24371202,11.13932421,11.08496674,10.2412091,10.84607154,10.20033668,10.76130101,10.85369618,10.69847291,9.756215718,9.730657234,9.139266061,10.33732837,10.62193487,10.52288169,10.05771494,10.06029203,9.625544835,10.92012519,10.83600749,10.52439879,10.75696599,10.88270288,10.8174932,10.46267621,10.14953214,10.51257283,10.58431337,10.66239806,10.44940794,10.49880123,10.73247678,10.38449774,10.59691814,10.6085946,10.52869435,10.70813671,10.70432185,10.43530427,10.73204107,10.73578161,10.63767327,10.61029238,10.45066633,10.45028606,10.70417307,10.67186759,10.67008583,10.71140219,10.38007518,10.46761596,10.66681142,10.58199399,10.50998283
AT1G01090,12.50724892,12.40743898,12.36287728,12.2886169,12.27129773,12.04293588,11.54333139,11.59851503,11.6582115,11.7394328,11.63688606,11.62376056,11.73344533,11.9389577,11.94187238,11.29160312,11.5979807,11.48474946,11.86841929,11.66588356,11.76282801,11.68657603,11.7103333,11.59927692,11.7943849,11.79441883,11.86965147,11.60012698,11.00961392,11.69110065,11.57369585,11.7534147,11.63182751,11.58307355,11.64388131,11.62433047,11.63285164,11.65638756,11.69951767,11.69637939,11.66823923,11.56692829,11.74069548,11.59308533,11.64897032,11.67459314,11.49272398,11.61629839,11.72866959,11.69423445,11.62891385,11.67954032,11.63087808,11.60628588,11.74190294,11.63312517,11.58194667
AT1G01100,13.26320642,13.28232186,13.22612304,12.92827095,12.82543363,12.71695394,11.75010689,11.75503516,11.6620224,11.97403045,11.86032221,11.82274365,11.92265437,11.75708062,11.83995161,11.7091631,11.73625499,11.75950922,11.79455925,11.64387503,11.83907981,11.98988698,11.89460915,11.59157522,11.98135691,12.03309349,12.13722726,11.65094907,11.17010119,11.82055452,11.72607575,12.0043497,11.77605035,11.68036754,11.75124111,11.8690435,11.76776573,11.71304154,11.89790538,11.91439627,11.81520367,11.73103947,11.86105674,11.8566819,11.86037618,12.0574028,11.95135327,11.99814125,11.90044708,11.83283149,11.8544633,11.89423194,11.8719992,11.68401454,11.93692313,11.77876091,11.78087604
AT1G01110,5.917308121,5.802315737,5.47999632,5.860635311,5.752372729,5.332490879,5.794030183,5.935100811,5.714561682,5.994193639,6.043852687,5.812445957,5.695442507,5.47381515,5.573767299,5.921218096,5.849326301,5.978648327,5.570612897,5.683221064,5.471327677,5.756348712,5.741172546,6.04978019,5.585947015,5.805529107,5.723481536,5.837053783,6.13039326,5.850480592,5.859714945,5.697627711,5.668141302,5.727824689,5.797281959,5.829379358,5.737087722,5.90635623,5.850712796,5.974628936,5.824066547,5.974394645,5.940455225,5.794925429,5.828696537,5.767251692,5.844432677,5.830446736,5.505578547,5.966560182,5.744404933,5.751778662,5.943678977,5.774718942,5.807614886,5.66046667,5.780364139
AT1G01115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01120,9.409951956,9.269253565,9.706987689,9.465184645,9.39593241,9.455630561,9.459736801,9.341774224,9.709764672,9.582165147,9.845483191,9.494492747,10.01149849,9.942953717,9.615442785,9.263164322,9.77955812,9.481992451,9.296757898,9.247810998,9.264913993,9.869281319,9.838504679,9.746246739,9.098157449,9.185996812,9.195864426,9.389365657,9.238480557,9.358458377,9.450703319,9.471117055,9.442541494,9.359269135,9.343396596,9.367309306,9.417301926,9.263249562,9.127781446,9.423980699,9.502370256,9.529423731,9.463903481,9.317968559,9.38492146,9.398287211,9.486265058,9.227476915,9.492997715,9.546449679,9.434212508,9.415643697,9.397876114,9.320243836,9.342520189,9.450330409,9.521067911
AT1G01130,5.622738226,5.365500355,5.550663284,5.381989426,5.20778267,5.25079442,5.19273447,4.984348026,5.100078776,5.15680616,5.201268335,4.785497816,4.897836834,4.896043345,5.173982265,4.919871565,4.999287453,4.931129118,5.274702494,5.026195867,5.212612065,4.882799598,4.977777258,5.008223976,4.896412207,4.882018967,5.073154273,5.139401323,5.465278827,5.011988122,4.898616784,5.007032553,5.038020798,4.964542414,5.090944087,5.201230426,5.029080591,4.997509838,5.155133499,5.057293878,4.904979998,5.003222779,4.930756082,5.118033819,5.113845241,5.066068911,5.050440897,5.032872762,4.848165529,5.04126461,5.20085779,5.070101647,5.066236629,5.056212449,5.134844554,5.006137798,4.988975353
AT1G01140,10.06090535,10.30755725,10.36993243,10.32749697,10.17138462,9.969449182,10.1446645,9.94055475,10.24510357,10.09788673,9.758788259,9.647535407,10.54976628,10.55365317,10.68223738,9.975121509,9.971737314,9.748306737,10.31278745,10.16010556,10.23560408,10.44671046,10.39127899,10.49132582,10.34570339,10.45001997,10.30383018,9.691415001,9.794559967,9.859961959,9.838832731,9.860972643,10.20637392,9.705366213,9.984134359,10.59349115,9.866802788,9.960428741,10.65496133,9.843438353,10.0160771,10.16498408,10.04387852,9.943702652,10.05865593,10.14711538,10.62367881,10.37121655,9.785056616,9.915322667,10.06570022,10.13668084,10.44117537,10.36388724,10.25712334,9.824953796,9.864412098
